feature,importance,importance_pct,cumulative_importance_pct
term_60,0.18772025,0.18772025,0.18772025
LTI,0.15590028,0.15590028,0.34362054
dti,0.1101169,0.1101169,0.45373744
home_ownership_RENT,0.077987894,0.077987894,0.53172535
verification_status_Verified,0.074965596,0.074965596,0.60669094
tot_cur_bal,0.06056546,0.06056546,0.6672564
verification_status_Source Verified,0.049943738,0.049943738,0.71720016
annual_inc,0.04372388,0.04372388,0.76092404
loan_amnt,0.043207243,0.043207243,0.80413127
flag_high_dti,0.03971131,0.03971131,0.84384257
purpose_credit_card,0.03946455,0.03946455,0.8833071
flag_any_derog,0.02986856,0.02986856,0.91317564
pub_rec,0.023470208,0.023470208,0.93664587
flag_recent_dpd,0.015754491,0.015754491,0.9524003
num_tl_90g_dpd_24m,0.015646137,0.015646137,0.9680465
purpose_debt_consolidation,0.014781594,0.014781594,0.9828281
home_ownership_OWN,0.012485763,0.012485763,0.9953138
purpose_home_improvement,0.0033150387,0.0033150387,0.99862885
flag_very_high_dti,0.0013711194,0.0013711194,1.0
home_ownership_OTHER,0.0,0.0,1.0
