feature_set,params,n_features,val_accuracy,val_f1_pos,val_auc
all,p1,31,0.6497196719304689,0.4318932655654384,0.7132464207633735
all,p4,31,0.6516146407148978,0.4315310924504031,0.7129566209638817
credit_focus,p4,19,0.6512816746235769,0.43260168107397523,0.712916784083381
dedup_core,p4,23,0.6511543640592484,0.4322497868237132,0.712761383918311
dedup_core,p1,23,0.6488921532623332,0.4316749756279276,0.7124900056382355
credit_focus,p1,19,0.64924470559432,0.43184035406372195,0.7124223349736106
all,p3,31,0.6481331864365283,0.43018903831514843,0.7117033121287507
dedup_core,p3,23,0.6474084955318888,0.43014513857013975,0.7107701787916237
credit_focus,p3,19,0.647217529685396,0.42961532067166486,0.7104906090972755
all,p2,31,0.6480352552331987,0.42877123829807523,0.7096676811156161
dedup_core,p2,23,0.6466838046272494,0.42844016349291847,0.7088295687044499
credit_focus,p2,19,0.6460129758844412,0.4276496528355066,0.7084099953733263
