config,device,threshold,precision,recall,f1,roc_auc,pr_auc,term_share,score
cfg_a,cuda,0.45,0.2926205725204345,0.6160421632896305,0.39677341969533403,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.43046836070304556
cfg_b,cuda,0.45,0.2978723404255319,0.5921111442193087,0.39635237139491253,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.428101146184236
cfg_e,cuda,0.45,0.2942955959508394,0.6069353396901073,0.39638763037066316,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.42683351133570696
cfg_d,cuda,0.45,0.3047130855759647,0.5579558998808105,0.3941638490178795,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.4193893341985665
cfg_a,cuda,0.48,0.31078731506469404,0.5426102502979738,0.3952117738817864,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.41653573865978794
cfg_b,cuda,0.48,0.31664488265045176,0.5188468414779499,0.3932778565933329,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.41441577362296333
cfg_e,cuda,0.48,0.31247814685314684,0.5325908820023838,0.39386844424856765,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.4125863626293236
cfg_c,cuda,0.45,0.28830422469707917,0.6465099821215733,0.39877776309970303,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.41122435091955456
cfg_a,cuda,0.5,0.32305180962126473,0.49387291418355184,0.3906027911772287,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.40720311124069036
cfg_d,cuda,0.48,0.32508917363691725,0.48713125744934443,0.3899461079183345,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.40710029404157805
cfg_b,cuda,0.5,0.3291679683432261,0.47094755661501786,0.38749616916947593,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.4053922923546394
cfg_e,cuda,0.5,0.3252501780293092,0.48484058402860547,0.389325477235511,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.4037815389158103
cfg_a,cuda,0.52,0.3354840511703257,0.44737038140643626,0.3834317637669593,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.39848830873411967
cfg_d,cuda,0.5,0.33691899449310925,0.4398092967818832,0.3815493981743275,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.3978072897394257
cfg_c,cuda,0.48,0.3055530716265761,0.5727242252681763,0.39850203766934683,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.39683681871029136
cfg_b,cuda,0.52,0.341404576035002,0.42433328367103695,0.3783783783783784,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.3964585943931894
cfg_e,cuda,0.52,0.33748782304738983,0.4387291418355185,0.38150607287449395,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.3950640762979695
cfg_d,cuda,0.52,0.3510946848534067,0.39451728247914186,0.3715415712995361,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.3900983547669976
cfg_c,cuda,0.5,0.3173866919465511,0.5237447854588796,0.395252417360018,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.3873056348960246
cfg_a,cuda,0.55,0.3554760125801463,0.3809967222884386,0.3677941877084326,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.3867907148302132
cfg_b,cuda,0.55,0.36236339438019005,0.36000819427890346,0.3611819549153144,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.3857327146577307
cfg_e,cuda,0.55,0.3580542978327398,0.3725975864123957,0.36518120339864746,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.383663279850648
cfg_d,cuda,0.55,0.3715610703766372,0.33125372467222886,0.350251558084811,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.37926466024964123
cfg_c,cuda,0.52,0.32957177415204075,0.47700014898688914,0.389812193711381,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.378493519764466
cfg_a,cuda,0.58,0.3763279369216158,0.3173234505363528,0.3443161266203914,0.6716867300220656,0.3399468523313909,0.3839985430240631,0.37589819620384674
cfg_b,cuda,0.58,0.3826307965280775,0.2971915971394517,0.3345422527829605,0.6711989179768612,0.3394591420130675,0.3754405081272125,0.3746760813758269
cfg_e,cuda,0.58,0.3780773340001364,0.30974374255065557,0.3405161382783789,0.6711228882933541,0.3393710507191259,0.3890802264213562,0.372584239711441
cfg_d,cuda,0.58,0.39248428606112923,0.2709512812872467,0.32058612901448796,0.6706134040249583,0.3389496886122698,0.37983065843582153,0.36910610283865175
cfg_c,cuda,0.55,0.34871004148849927,0.40854067342073896,0.3762617383474122,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.3658903746278288
cfg_c,cuda,0.58,0.3695556621114041,0.34447631108462456,0.35657554844430733,0.6741449023614113,0.34247830425283077,0.4741113781929016,0.35506728571214646
